N,Classical_F,Petz_F,Ratio
1,0.97325001552245415937,1.00000099995718994,1.0274862409535903129
3,0.9261662756088667736,1.000007000016067682,1.0797272869373888415
5,0.88671971733906240765,1.0000309999571899144,1.1277870339436690816
7,0.8539264954581214928,1.0001269999964419455,1.17120970635755417
