p_base,rep,t,Quantum_F,Classical_F,Ratio
0.5,91,18.2,1.0,0.707117,1.4142
0.5,92,18.4,1.0,0.707117,1.4142
0.5,93,18.6,1.0,0.707117,1.4142
0.5,94,18.8,1.0,0.707117,1.4142
0.5,95,19.0,1.0,0.707117,1.4142
0.5,96,19.2,1.0,0.707117,1.4142
0.5,97,19.4,1.0,0.707117,1.4142
0.5,98,19.6,1.0,0.707117,1.4142
0.5,99,19.8,1.0,0.707117,1.4142
0.5,100,20.0,1.0,0.707117,1.4142
